group,id,condition,context,question,image,probably,might,bare,type,correct,incorrect
e,g_p9,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_purple_90.png,You will probably get a purple one,You might get a purple one,You will not get a purple one,experimental-trial,,
e,g_p1,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_purple_10.png,You will probably get a purple one,You might get a purple one,You will not get a purple one,experimental-trial,,
e,g_o9,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_orange_90.png,You will probably get an orange one,You might get an orange one,You will not get an orange one,experimental-trial,,
e,g_o9,gumball,Please select the image you just saw.,,,,,,attention-check,gumball_orange_90.png,gumball_orange_70.png
e,g_o1,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_orange_10.png,You will probably get an orange one,You might get an orange one,You will not get an orange one,experimental-trial,,
f,g_p9,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_purple_90.png,You will probably get a purple one,You might get a purple one,You will not get a purple one,experimental-trial,,
f,g_p1,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_purple_10.png,You will probably get a purple one,You might get a purple one,You will not get a purple one,experimental-trial,,
f,g_o9,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_orange_90.png,You will probably get an orange one,You might get an orange one,You will not get an orange one,experimental-trial,,
f,g_o9,gumball,Please select the image you just saw.,,,,,,attention-check,gumball_orange_90.png,gumball_orange_70.png
f,g_o1,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_orange_10.png,You will probably get an orange one,You might get an orange one,You will not get an orange one,experimental-trial,,
g,g_o9,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_orange_90.png,You will probably get an orange one,You might get an orange one,You will not get an orange one,experimental-trial,,
g,g_o1,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_orange_10.png,You will probably get an orange one,You might get an orange one,You will not get an orange one,experimental-trial,,
g,g_p9,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_purple_90.png,You will probably get a purple one,You might get a purple one,You will not get a purple one,experimental-trial,,
g,g_p9,gumball,Please select the image you just saw.,,,,,,attention-check,gumball_purple_90.png,gumball_purple_70.png
g,g_p1,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_purple_10.png,You will probably get a purple one,You might get a purple one,You will not get a purple one,experimental-trial,,
h,g_o9,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_orange_90.png,You will probably get an orange one,You might get an orange one,You will not get an orange one,experimental-trial,,
h,g_o1,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_orange_10.png,You will probably get an orange one,You might get an orange one,You will not get an orange one,experimental-trial,,
h,g_p9,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_purple_90.png,You will probably get a purple one,You might get a purple one,You will not get a purple one,experimental-trial,,
h,g_p9,gumball,Please select the image you just saw.,,,,,,attention-check,gumball_purple_90.png,gumball_purple_70.png
h,g_p1,gumball,Person <b>A</b> wants to know what gumball will be dispensed based on the image below.,How likely are you to respond to A with each of the following responses?,gumball_purple_10.png,You will probably get a purple one,You might get a purple one,You will not get a purple one,experimental-trial,,
